Depth,Susceptibility (10^-3 SI),Other notes
1406,2.66,Quarter core
1405,2.9,Quarter core
1403,0.69,Quarter core
1399,2.27,Quarter core
1397,0.67,Quarter core
1393,5.57,Quarter core
1389,9.31,Quarter core
1387,12.7,Quarter core
1385,10.2,Quarter core
1381,13.9,Quarter core
1379,12.5,Quarter core
1377,2.77,Quarter core
1375,3.22,Quarter core
1373,2.4,Quarter core
1371,14.6,Quarter core
1369,1.96,Quarter core
1367,25.2,Quarter core
1365,10.6,Quarter core
1364,17,Quarter core
1362,38.3,Quarter core
1360,18.5,Quarter core
1358,26.6,Quarter core
1354,4.37,Quarter core
1352,0.27,Quarter core
1350,68.2,Quarter core
1348,128,Quarter core
1346,98,Quarter core
1345,20.3,Quarter core
1342,18.8,
1340,30,
1338,62.7,
1337,44.2,
1335,36.2,
1333,54.6,
1331,78.8,
1329,7.19,
1327,9.83,
1325,7.5,
1323,31.6,
1321,46,
1319,16.8,
1317,51.4,
1315,8.64,
1313,8.97,
1311,21.5,
1309,5.57,
1307,8.03,Quarter core
1305,21.9,Quarter core
1302,20.1,
1298,8.33,
1296,7.4,
1292,2.72,
1290,9.07,
1288,2.38,
1285,4.62,
1282,3.73,
1280,6.3,
1278,4.18,
1276,5.17,
1270,8.71,
1268,4.91,
1266,2.53,
1264,1.16,
1262,0.78,
1260,8.46,
1258,0.43,
1255,0.58,
1253,0.55,
1251,1.3,
1249,0.91,
1247,0.49,
1245,6.51,
1241,8.96,
1239,6.69,
1237,6.15,
1233,11.1,
1229,5.79,
1227,6.82,
1225,7.65,
1217,4.28,
1215,4.1,
1213,5.31,
1210,5.57,
1208,10,
1204,9.98,
1200,8.61,
1196,6.77,
1192,3.28,
1189,37,
1187,4.62,
1185,9.58,
1181,5.66,
1177,5.28,
1173,5.98,
1169,6.8,
1165,5.64,
1161,6.75,
1157,6.58,
1155,6.68,
1151,8.16,
1147,4.47,
1145,4.96,
1142,29.6,
1140,5.75,
1136,5.47,
1132,8.23,
1128,4.85,
1124,6.7,
1120,4.85,
1116,5.74,
1112,11.2,
1110,6.3,
1108,5.68,
1106,5.69,
1102,3.62,
1098,9.09,
1096,7.55,
1093,4.9,
1089,6.95,
1085,8.54,
1081,6.02,
1079,4.84,
1075,7.98,
1071,8.4,
1066,3.9,
1061,13.7,
1052,6.28,
1045,3.08,
1035,13.5,
1027,15,
1017,7.08,
1009,10.4,
1001,7.86,
999,31,
996,3.32,
990,8.44,
980,5.2,
971,11.4,
961,14.2,
955,14.2,
949,8.91,
939,14.1,
930,7.42,
919,9.05,
910,5.87,
902,11.5,
892,4.93,
885,21.7,
881,5.29,
873,2.64,
867,6.17,
863,7.33,
862,12,
846,7.17,
838,15.2,
829,8.44,
819,8.31,
815,11.8,
812,19.4,
807,8.09,
800,15.3,
794,2.75,
788,7.04,
780,6.57,
775,3.93,
771,12.2,
765,21.7,
758,11.7,
748,16.1,
743,6.3,
735,4.44,
731,2.65,
721,12.3,
713,5.47,
709,3.57,
706,24.6,
700,2.3,
694,11.3,
690,20,
683,9.85,
681,0.13,
679,9.69,
677,0.32,
675,13.4,
673,6.05,
672,0.23,
670,20.9,
666,13,
664,0.43,
660,0.11,
658,0.005,
656,0,
654,0.02,
652,0.36,
650,0.24,
648,5.91,
646,4.65,
641,14.6,
633,11.8,
625,5.33,
616,8.11,
606,8.39,
600,9.09,
594,11.6,
584,9.24,
575,2.05,
565,7.63,
555,5.47,
546,2.8,
536,9.89,
526,6.5,
517,15.2,
515,10.6,
507,12.7,
499,7.39,
491,7.39,
483,9.73,
478,2.33,
468,13.3,
459,2.7,
449,5.88,
440,5.07,
434,2.4,
432,13.7,
430,3.92,
426,1.1,
418,0.25,
416,0.26,
415,0.29,
413,0,
411,0.14,
409,0.1,
404,0.026,
400,0.0079,
398,0.0308,
391,0.02,
387,0.0346,
385,0.1,
383,0.01,
377,0.45,
371,0.19,
367,0.2,
365,0.43,
359,0.2878,
355,0.2683,
346,4.58,
342,2.76,
336,8.29,
329,10.2,
321,10.7,
312,4.06,
302,5.92,
292,11.9,
287,7.2,
285,35.3,
281,13.9,
276,9.19,
268,11.3,
260,21.3,
257,12.4,
249,4.89,
245,14.1,
238,3.8,
228,12.7,
218,10,
208,7.31,
204,17.7,
202,13,
199,7.91,
197,0.7705,
193,5.74,
190,15.1,
184,3.96,
178,13.2,
170,3.58,
163,3.5,
155,0.1164,
152,0.193,
150,20.2,
146,7.73,
138,2.84,
135,21.2,
133,5.42,
131,1.37,
126,0.7771,
125,2.52,
