tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.6	074.2	47.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:20:29	3.809e-05	6.97e-07	6.336e-02	5.25e-09	6.64e-09	1.85e-09	8	273	D6A-2031a_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.4.0	D6A-2031a	u	3.500e-02	0	0.00	0.00	16	273
	This study		0.6	074.7	47.0	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:22:04	3.721e-05	6.81e-07	6.191e-02	5.36e-09	6.67e-09	1.81e-09	8	273	D6A-2031a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.4.0	D6A-2031a	u	4.000e-02	0	0.00	0.00	17	273
	This study		0.6	074.6	47.8	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:23:39	3.617e-05	6.62e-07	6.018e-02	5.23e-09	6.47e-09	1.63e-09	8	273	D6A-2031a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.4.0	D6A-2031a	u	4.500e-02	0	0.00	0.00	18	273
	This study		0.6	075.1	47.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:25:13	3.530e-05	6.46e-07	5.873e-02	5.03e-09	6.32e-09	1.44e-09	8	273	D6A-2031a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.4.0	D6A-2031a	u	5.000e-02	0	0.00	0.00	19	273
	This study		0.6	073.9	47.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:26:48	3.410e-05	6.24e-07	5.673e-02	4.94e-09	6.18e-09	1.26e-09	8	273	D6A-2031a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.4.0	D6A-2031a	u	5.500e-02	0	0.00	0.00	20	273
	This study		0.6	074.4	48.5	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:28:23	3.158e-05	5.78e-07	5.255e-02	4.49e-09	6.17e-09	1.33e-09	8	273	D6A-2031a_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.4.0	D6A-2031a	u	6.000e-02	0	0.00	0.00	21	273
	This study		0.6	074.7	48.1	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:29:58	3.049e-05	5.58e-07	5.073e-02	4.54e-09	5.74e-09	1.39e-09	8	273	D6A-2031a_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.4.0	D6A-2031a	u	6.500e-02	0	0.00	0.00	22	273
	This study		0.6	075.3	50.1	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:31:33	2.858e-05	5.23e-07	4.755e-02	4.19e-09	5.54e-09	1.38e-09	8	273	D6A-2031a_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.4.0	D6A-2031a	u	7.000e-02	0	0.00	0.00	23	273
	This study		0.6	074.1	49.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:33:08	2.678e-05	4.90e-07	4.455e-02	4.02e-09	5.28e-09	1.13e-09	8	273	D6A-2031a_LP-DIR-AF-25	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.4.0	D6A-2031a	u	7.500e-02	0	0.00	0.00	24	273
	This study		0.7	074.8	49.4	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:34:43	2.443e-05	4.47e-07	4.064e-02	3.67e-09	4.88e-09	9.59e-10	8	273	D6A-2031a_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.4.0	D6A-2031a	u	8.000e-02	0	0.00	0.00	25	273
	This study		0.6	074.9	48.7	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:36:18	2.328e-05	4.26e-07	3.873e-02	3.51e-09	4.57e-09	1.05e-09	8	273	D6A-2031a_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.4.0	D6A-2031a	u	8.500e-02	0	0.00	0.00	26	273
	This study		0.7	074.3	48.6	D6A-2031a_LP-DIR-AF	hargrave 2026-07-23 20:37:53	2.087e-05	3.82e-07	3.473e-02	3.29e-09	3.97e-09	8.87e-10	8	273	D6A-2031a_LP-DIR-AF-28	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.4.0	D6A-2031a	u	9.000e-02	0	0.00	0.00	27	273
