Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z,Sample_method_codes,Site_method_codes,Site_geologic_classes,Site_geologic_types,Site_lithologies,Site_age,Site_age_sigma,Site_age_low,Site_age_high,Site_age_unit,Locality_type,Locality_geologic_classes,Locality_lithologies,Locality_age,Locality_age_sigma,Locality_age_low,Locality_age_high,Locality_age_unit
D6A-2076a,oriented specimen for remanence,0,0,28.505779,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2076,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2076b,chip for rock magnetic experiments,,,0.1277,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2076,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2076c,chip for rock magnetic experiments,,,0.16195,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2076,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2076d,"chip for rock magnetic experiments, albite chip",,,0.01548,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2076,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2076t,polished thick section prepared for SEM analysis and QDM analysis,,,,,2076,,,D6A-2076,porphyritic granite with plag phenos up to 3 cm that are aligned in tilted foliation,D6A-2076,Severson unit GRB; Severson description: CS GRN PORPYRITIC; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2076,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2046a,oriented specimen for remanence,0,0,,,2046,,,D6A-2046,0.5 cm grain size with subhorizontal igneous foliation,D6A-2046,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2046,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2046b,chip for rock magnetic experiments,,,0.18817,,2046,,,D6A-2046,0.5 cm grain size with subhorizontal igneous foliation,D6A-2046,Severson unit GRB; Severson description: MED. GRN GRANITE; rock type: quartz monzonite; sulfide 0%,47.6989,268.1638,2046,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2031a,oriented specimen for remanence,0,-90,18.29874,,2031,,,D6A-2031,quartz monzonite 0.7 to 1 mm grain quartz monozonite footwall with abundant sulfides (bright brassy chalcopyrite?). We consider this to be GRB rather than assimilated GRB.,D6A-2031,Severson unit GRB; Severson description: Homog. (Noritic) CP-BN+Po-rich zone (10%); rock type: quartz monzonite; sulfide 3%,47.6989,268.1638,2031,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2031b,chip for rock magnetic experiments,,,0.11957,,2031,,,D6A-2031,quartz monzonite 0.7 to 1 mm grain quartz monozonite footwall with abundant sulfides (bright brassy chalcopyrite?). We consider this to be GRB rather than assimilated GRB.,D6A-2031,Severson unit GRB; Severson description: Homog. (Noritic) CP-BN+Po-rich zone (10%); rock type: quartz monzonite; sulfide 3%,47.6989,268.1638,2031,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2031c,chip for rock magnetic experiments,,,0.12852,,2031,,,D6A-2031,quartz monzonite 0.7 to 1 mm grain quartz monozonite footwall with abundant sulfides (bright brassy chalcopyrite?). We consider this to be GRB rather than assimilated GRB.,D6A-2031,Severson unit GRB; Severson description: Homog. (Noritic) CP-BN+Po-rich zone (10%); rock type: quartz monzonite; sulfide 3%,47.6989,268.1638,2031,,,D6A-felsic,"Group Felsic: GRB footwall, granophyre, and oxidized augite troctolite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Pluton,Quartz Monzonite,,,2674,2685,Ma,Drill Site,Igneous:Intrusive,Quartz Monzonite:Granophyre:Troctolite,,,1096.19,2685,Ma
D6A-2022a,oriented specimen for remanence,0,-90,21.997169,,2022,,,D6A-2022,0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite),D6A-2022,Severson unit BAN (l); Severson description: Troctolite (crossed-out) Homog. (Noritic); rock type: troctolite; sulfide 1%,47.6989,268.1638,2022,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
D6A-2022b,chip for rock magnetic experiments,,,0.17122,,2022,,,D6A-2022,0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite),D6A-2022,Severson unit BAN (l); Severson description: Troctolite (crossed-out) Homog. (Noritic); rock type: troctolite; sulfide 1%,47.6989,268.1638,2022,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
D6A-2022t,polished thick section prepared for SEM analysis and QDM analysis,,,,,2022,,,D6A-2022,0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite),D6A-2022,Severson unit BAN (l); Severson description: Troctolite (crossed-out) Homog. (Noritic); rock type: troctolite; sulfide 1%,47.6989,268.1638,2022,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
D6A-2009a,oriented specimen for remanence,0,-90,23.084709,,2009,,,D6A-2009,0.3 cm augite troctolite sulfides up to 0.5 cm,D6A-2009,Severson unit BAN (l); Severson description: TROCT (MOD HET); rock type: augite troctolite; sulfide 3%,47.6989,268.1638,2009,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
D6A-2009b,chip for rock magnetic experiments,,,0.1435,,2009,,,D6A-2009,0.3 cm augite troctolite sulfides up to 0.5 cm,D6A-2009,Severson unit BAN (l); Severson description: TROCT (MOD HET); rock type: augite troctolite; sulfide 3%,47.6989,268.1638,2009,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
D6A-2001a,oriented specimen for remanence,0,-90,24.15041,,2001,,,D6A-2001,0.3 to 0.5 cm with sulfides up to 0.4 cm,D6A-2001,Severson unit BAN (l); Severson description: AGT-HOMOG.; rock type: augite troctolite; sulfide 1%,47.6989,268.1638,2001,,,D6A-BAN,"Group BAN: Basal Augite Troctolite and Norite; D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,,FS-C-DRILL:SO-V,FS-C-DRILL:SO-V,Igneous:Intrusive,Layered Intrusion,Troctolite,1096.19,0.095,,,Ma,Drill Site,Igneous:Intrusive,Troctolite,1096.19,0.095,,,Ma
