tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.6	284.5	-49.4	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:57:58	6.166e-05	1.29e-06	1.173e-01	1.30e-08	9.32e-09	2.16e-08	8	273	D6A-1605a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.4.0	D6A-1605a	u	1.750e-02	0	0.00	0.00	11	273
	This study		0.7	286.3	-45.9	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 17:59:34	5.784e-05	1.21e-06	1.100e-01	1.29e-08	8.16e-09	2.06e-08	8	273	D6A-1605a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.4.0	D6A-1605a	u	2.000e-02	0	0.00	0.00	12	273
	This study		0.7	289.4	-43.6	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:01:09	5.497e-05	1.15e-06	1.045e-01	1.26e-08	7.81e-09	1.99e-08	8	273	D6A-1605a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.4.0	D6A-1605a	u	2.250e-02	0	0.00	0.00	13	273
	This study		0.8	289.0	-42.0	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:02:45	5.258e-05	1.10e-06	1.000e-01	1.27e-08	7.74e-09	1.96e-08	8	273	D6A-1605a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.4.0	D6A-1605a	u	2.500e-02	0	0.00	0.00	14	273
	This study		0.8	291.5	-39.6	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:04:21	5.115e-05	1.07e-06	9.727e-02	1.23e-08	7.27e-09	1.92e-08	8	273	D6A-1605a_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.4.0	D6A-1605a	u	2.750e-02	0	0.00	0.00	15	273
	This study		0.8	291.4	-38.9	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:07:48	4.971e-05	1.04e-06	9.455e-02	1.27e-08	7.70e-09	1.87e-08	8	273	D6A-1605a_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.4.0	D6A-1605a	u	3.000e-02	0	0.00	0.00	16	273
	This study		0.8	294.4	-38.0	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:11:15	4.876e-05	1.02e-06	9.273e-02	1.28e-08	7.23e-09	1.82e-08	8	273	D6A-1605a_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.4.0	D6A-1605a	u	3.500e-02	0	0.00	0.00	17	273
	This study		0.8	296.3	-37.0	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:14:40	4.747e-05	9.93e-07	9.027e-02	1.27e-08	7.34e-09	1.77e-08	8	273	D6A-1605a_LP-DIR-AF-25	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.4.0	D6A-1605a	u	4.000e-02	0	0.00	0.00	18	273
	This study		0.8	297.6	-35.8	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:18:07	4.517e-05	9.45e-07	8.591e-02	1.25e-08	7.00e-09	1.73e-08	8	273	D6A-1605a_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.4.0	D6A-1605a	u	4.500e-02	0	0.00	0.00	19	273
	This study		0.8	299.8	-36.4	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:21:33	4.465e-05	9.34e-07	8.491e-02	1.20e-08	6.64e-09	1.69e-08	8	273	D6A-1605a_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.4.0	D6A-1605a	u	5.000e-02	0	0.00	0.00	20	273
	This study		0.8	301.5	-35.8	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:24:59	4.417e-05	9.24e-07	8.400e-02	1.20e-08	6.58e-09	1.68e-08	8	273	D6A-1605a_LP-DIR-AF-28	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.4.0	D6A-1605a	u	5.500e-02	0	0.00	0.00	21	273
	This study		0.8	304.1	-36.3	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:28:26	4.455e-05	9.32e-07	8.473e-02	1.22e-08	6.80e-09	1.64e-08	8	273	D6A-1605a_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.4.0	D6A-1605a	u	6.000e-02	0	0.00	0.00	22	273
	This study		0.8	305.4	-34.6	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:31:51	4.398e-05	9.20e-07	8.364e-02	1.26e-08	7.05e-09	1.64e-08	8	273	D6A-1605a_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.4.0	D6A-1605a	u	6.500e-02	0	0.00	0.00	23	273
	This study		0.7	309.1	-33.8	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:35:18	4.426e-05	9.26e-07	8.418e-02	1.15e-08	6.31e-09	1.62e-08	8	273	D6A-1605a_LP-DIR-AF-31	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.4.0	D6A-1605a	u	7.000e-02	0	0.00	0.00	24	273
	This study		0.7	310.7	-33.3	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:38:44	4.345e-05	9.09e-07	8.264e-02	1.21e-08	6.59e-09	1.59e-08	8	273	D6A-1605a_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.4.0	D6A-1605a	u	7.500e-02	0	0.00	0.00	25	273
	This study		0.7	313.1	-33.2	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:42:09	4.374e-05	9.15e-07	8.318e-02	1.19e-08	6.38e-09	1.58e-08	8	273	D6A-1605a_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.4.0	D6A-1605a	u	8.000e-02	0	0.00	0.00	26	273
	This study		0.7	314.1	-32.4	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:45:34	4.575e-05	9.57e-07	8.700e-02	1.27e-08	7.00e-09	1.60e-08	8	273	D6A-1605a_LP-DIR-AF-34	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.4.0	D6A-1605a	u	8.500e-02	0	0.00	0.00	27	273
	This study		0.6	318.2	-32.3	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:49:01	4.546e-05	9.51e-07	8.645e-02	1.28e-08	7.10e-09	1.54e-08	8	273	D6A-1605a_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.4.0	D6A-1605a	u	9.000e-02	0	0.00	0.00	28	273
	This study		0.7	318.3	-31.2	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:52:27	4.565e-05	9.55e-07	8.682e-02	1.28e-08	6.70e-09	1.54e-08	8	273	D6A-1605a_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.4.0	D6A-1605a	u	9.500e-02	0	0.00	0.00	29	273
	This study		0.6	319.8	-30.6	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:55:53	4.637e-05	9.70e-07	8.818e-02	1.30e-08	6.68e-09	1.45e-08	8	273	D6A-1605a_LP-DIR-AF-37	LT-AF-Z:LP-DIR-AF	g	36	pmagpy-4.4.0	D6A-1605a	u	1.000e-01	0	0.00	0.00	30	273
	This study		0.6	320.5	-32.6	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 18:59:20	4.517e-05	9.45e-07	8.591e-02	1.26e-08	6.33e-09	1.51e-08	8	273	D6A-1605a_LP-DIR-AF-38	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.4.0	D6A-1605a	u	1.050e-01	0	0.00	0.00	31	273
	This study		0.6	322.8	-31.2	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 19:02:48	4.517e-05	9.45e-07	8.591e-02	1.22e-08	6.27e-09	1.47e-08	8	273	D6A-1605a_LP-DIR-AF-39	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.4.0	D6A-1605a	u	1.100e-01	0	0.00	0.00	32	273
	This study		0.6	324.0	-30.5	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 19:06:16	4.603e-05	9.63e-07	8.755e-02	1.27e-08	6.16e-09	1.43e-08	8	273	D6A-1605a_LP-DIR-AF-40	LT-AF-Z:LP-DIR-AF	g	39	pmagpy-4.4.0	D6A-1605a	u	1.150e-01	0	0.00	0.00	33	273
	This study		0.6	324.5	-31.5	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 19:09:45	4.603e-05	9.63e-07	8.755e-02	1.35e-08	6.92e-09	1.50e-08	8	273	D6A-1605a_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.4.0	D6A-1605a	u	1.200e-01	0	0.00	0.00	34	273
	This study		0.6	324.3	-30.3	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 19:13:13	4.637e-05	9.70e-07	8.818e-02	1.37e-08	7.06e-09	1.48e-08	8	273	D6A-1605a_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.4.0	D6A-1605a	u	1.250e-01	0	0.00	0.00	35	273
	This study		0.6	326.7	-32.3	D6A-1605a_LP-DIR-AF	hargrave 2026-07-21 19:16:43	4.584e-05	9.59e-07	8.718e-02	1.34e-08	6.80e-09	1.49e-08	8	273	D6A-1605a_LP-DIR-AF-43	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.4.0	D6A-1605a	u	1.300e-01	0	0.00	0.00	36	273
	This study		0.9	032.8	63.8	D6A-1822a_LT-NO	hargrave 2026-07-27 15:56:09	7.048e-03	1.65e-04	1.500e+01	1.67e-06	2.08e-06	2.11e-06	8	273	D6A-1822a_LT-NO-44	LT-NO	g	43	pmagpy-4.4.0	D6A-1822a	u	0	0	0.00	0.00		273
	This study		9.1	139.9	11.5	D6A-1833a_LT-NO	hargrave 2026-07-27 16:10:19	6.273e-02	1.68e-03	1.527e+02	2.99e-04	3.02e-04	1.43e-05	8	273	D6A-1833a_LT-NO-45	LT-NO	g	44	pmagpy-4.4.0	D6A-1833a	u	0	0	0.00	0.00		273
	This study		1.2	175.5	67.8	D6A-1845a_LT-NO	hargrave 2026-07-27 16:20:52	6.097e-03	1.52e-04	1.382e+01	2.22e-06	2.61e-06	8.30e-07	8	273	D6A-1845a_LT-NO-46	LT-NO	g	45	pmagpy-4.4.0	D6A-1845a	u	0	0	0.00	0.00		273
