tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1108a_LP-DIR-AF-75	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	150.9	-11.0 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-22 17:01:31	LT-AF-Z:LP-DIR-AF	g	74	u	8	273			pmagpy-4.4.0	1.67e-05	1.90e-07	1.22e-07	8.88e-08
D6A-1108a_LP-DIR-AF-76	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	144.0	-14.5 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-22 17:04:55	LT-AF-Z:LP-DIR-AF	g	75	u	8	273			pmagpy-4.4.0	1.40e-05	1.40e-07	9.01e-08	7.41e-08
D6A-1108a_LP-DIR-AF-77	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	137.4	-17.5 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-22 17:08:20	LT-AF-Z:LP-DIR-AF	g	76	u	8	273			pmagpy-4.4.0	1.24e-05	1.17e-07	6.64e-08	6.35e-08
D6A-1108a_LP-DIR-AF-78	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	134.1	-19.1 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-22 17:11:46	LT-AF-Z:LP-DIR-AF	g	77	u	8	273			pmagpy-4.4.0	1.16e-05	1.14e-07	5.99e-08	5.83e-08
D6A-1108a_LP-DIR-AF-79	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	128.8	-21.5 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-22 17:13:20	LT-AF-Z:LP-DIR-AF	g	78	u	8	273			pmagpy-4.4.0	1.04e-05	9.06e-08	4.90e-08	4.87e-08
D6A-1108a_LP-DIR-AF-80	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	126.8	-22.6 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-22 17:14:55	LT-AF-Z:LP-DIR-AF	g	79	u	8	273			pmagpy-4.4.0	9.76e-06	8.19e-08	4.19e-08	4.39e-08
D6A-1108a_LP-DIR-AF-81	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	125.8	-23.3 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-22 17:16:30	LT-AF-Z:LP-DIR-AF	g	80	u	8	273			pmagpy-4.4.0	9.27e-06	7.53e-08	3.68e-08	4.04e-08
D6A-1108a_LP-DIR-AF-82	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	125.2	-23.7 	 1.500e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-22 17:18:05	LT-AF-Z:LP-DIR-AF	g	81	u	8	273			pmagpy-4.4.0	8.87e-06	6.85e-08	3.43e-08	3.75e-08
D6A-1108a_LP-DIR-AF-83	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	124.8	-23.8 	 1.750e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-22 17:19:40	LT-AF-Z:LP-DIR-AF	g	82	u	8	273			pmagpy-4.4.0	8.56e-06	6.45e-08	3.13e-08	3.59e-08
D6A-1108a_LP-DIR-AF-84	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	124.8	-23.9 	 2.000e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-22 17:21:15	LT-AF-Z:LP-DIR-AF	g	83	u	8	273			pmagpy-4.4.0	8.29e-06	5.65e-08	3.00e-08	3.48e-08
D6A-1108a_LP-DIR-AF-85	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	124.9	-24.0 	 2.250e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-22 17:22:50	LT-AF-Z:LP-DIR-AF	g	84	u	8	273			pmagpy-4.4.0	8.04e-06	5.66e-08	2.78e-08	3.38e-08
D6A-1108a_LP-DIR-AF-86	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	124.9	-24.1 	 2.500e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-22 17:24:25	LT-AF-Z:LP-DIR-AF	g	85	u	8	273			pmagpy-4.4.0	7.82e-06	5.34e-08	2.58e-08	3.29e-08
D6A-1108a_LP-DIR-AF-87	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	124.9	-24.3 	 2.750e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-22 17:26:55	LT-AF-Z:LP-DIR-AF	g	86	u	8	273			pmagpy-4.4.0	7.64e-06	5.20e-08	2.48e-08	3.20e-08
D6A-1108a_LP-DIR-AF-88	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	125.3	-23.8 	 3.000e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-22 17:28:30	LT-AF-Z:LP-DIR-AF	g	87	u	8	273			pmagpy-4.4.0	7.45e-06	4.88e-08	2.47e-08	3.26e-08
D6A-1108a_LP-DIR-AF-89	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	126.0	-23.6 	 3.500e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-22 17:31:01	LT-AF-Z:LP-DIR-AF	g	88	u	8	273			pmagpy-4.4.0	7.18e-06	4.87e-08	2.28e-08	3.14e-08
D6A-1108a_LP-DIR-AF-90	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	126.3	-23.4 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-22 17:33:32	LT-AF-Z:LP-DIR-AF	g	89	u	8	273			pmagpy-4.4.0	6.93e-06	4.63e-08	2.19e-08	3.06e-08
D6A-1108a_LP-DIR-AF-91	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	127.0	-23.0 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-22 17:35:07	LT-AF-Z:LP-DIR-AF	g	90	u	8	273			pmagpy-4.4.0	6.68e-06	4.23e-08	2.15e-08	2.98e-08
D6A-1108a_LP-DIR-AF-92	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	127.0	-22.7 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-22 17:36:42	LT-AF-Z:LP-DIR-AF	g	91	u	8	273			pmagpy-4.4.0	6.53e-06	4.26e-08	1.97e-08	2.94e-08
D6A-1108a_LP-DIR-AF-93	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	127.5	-22.0 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-22 17:38:17	LT-AF-Z:LP-DIR-AF	g	92	u	8	273			pmagpy-4.4.0	6.34e-06	4.16e-08	1.98e-08	2.86e-08
D6A-1108a_LP-DIR-AF-94	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	127.7	-21.4 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-22 17:39:52	LT-AF-Z:LP-DIR-AF	g	93	u	8	273			pmagpy-4.4.0	6.22e-06	4.05e-08	1.89e-08	2.83e-08
D6A-1108a_LP-DIR-AF-95	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	128.7	-21.1 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-22 17:41:27	LT-AF-Z:LP-DIR-AF	g	94	u	8	273			pmagpy-4.4.0	6.01e-06	4.09e-08	1.88e-08	2.71e-08
D6A-1108a_LP-DIR-AF-96	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.4	129.7	-20.4 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-22 17:43:02	LT-AF-Z:LP-DIR-AF	g	95	u	8	273			pmagpy-4.4.0	5.82e-06	4.04e-08	1.91e-08	2.59e-08
D6A-1108a_LP-DIR-AF-97	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	130.0	-19.5 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-22 17:46:29	LT-AF-Z:LP-DIR-AF	g	96	u	8	273			pmagpy-4.4.0	5.73e-06	4.27e-08	1.97e-08	2.57e-08
D6A-1108a_LP-DIR-AF-98	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	131.6	-18.7 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-22 17:49:56	LT-AF-Z:LP-DIR-AF	g	97	u	8	273			pmagpy-4.4.0	5.61e-06	4.26e-08	2.04e-08	2.68e-08
D6A-1108a_LP-DIR-AF-99	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	132.8	-17.7 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-22 17:52:27	LT-AF-Z:LP-DIR-AF	g	98	u	8	273			pmagpy-4.4.0	5.45e-06	4.42e-08	2.17e-08	2.59e-08
D6A-1108a_LP-DIR-AF-100	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	134.7	-16.3 	 9.000e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-22 17:54:02	LT-AF-Z:LP-DIR-AF	g	99	u	8	273			pmagpy-4.4.0	5.36e-06	4.53e-08	2.47e-08	2.57e-08
D6A-1108a_LP-DIR-AF-101	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.5	135.8	-14.7 	 9.500e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-22 17:55:37	LT-AF-Z:LP-DIR-AF	g	100	u	8	273			pmagpy-4.4.0	5.24e-06	4.77e-08	2.63e-08	2.57e-08
D6A-1108a_LP-DIR-AF-102	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.6	138.0	-12.7 	 1.000e-01	0	0.00	0.00	29	273	This study	hargrave 2026-07-22 17:57:13	LT-AF-Z:LP-DIR-AF	g	101	u	8	273			pmagpy-4.4.0	5.17e-06	5.15e-08	2.98e-08	2.71e-08
D6A-1108a_LP-DIR-AF-103	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.6	140.0	-10.6 	 1.050e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-22 17:58:49	LT-AF-Z:LP-DIR-AF	g	102	u	8	273			pmagpy-4.4.0	5.08e-06	5.47e-08	3.36e-08	2.91e-08
D6A-1108a_LP-DIR-AF-104	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.7	142.4	-08.3 	 1.100e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-22 18:00:25	LT-AF-Z:LP-DIR-AF	g	103	u	8	273			pmagpy-4.4.0	4.99e-06	5.84e-08	3.75e-08	3.14e-08
D6A-1108a_LP-DIR-AF-105	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.7	144.6	-05.7 	 1.150e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-22 18:02:01	LT-AF-Z:LP-DIR-AF	g	104	u	8	273			pmagpy-4.4.0	4.96e-06	6.33e-08	4.16e-08	3.46e-08
D6A-1108a_LP-DIR-AF-106	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.8	147.0	-03.7 	 1.200e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-22 18:05:29	LT-AF-Z:LP-DIR-AF	g	105	u	8	273			pmagpy-4.4.0	5.02e-06	6.88e-08	4.49e-08	3.86e-08
D6A-1108a_LP-DIR-AF-107	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.8	150.1	-00.4 	 1.250e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-22 18:08:58	LT-AF-Z:LP-DIR-AF	g	106	u	8	273			pmagpy-4.4.0	4.93e-06	7.38e-08	5.01e-08	4.29e-08
D6A-1108a_LP-DIR-AF-108	D6A-1108a	D6A-1108a_LP-DIR-AF	    0.9	153.2	 02.4 	 1.300e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-22 18:12:26	LT-AF-Z:LP-DIR-AF	g	107	u	8	273			pmagpy-4.4.0	4.96e-06	7.87e-08	5.53e-08	4.81e-08
D6A-1110a_LP-DIR-AF-109	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.5	175.4	-26.2 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-22 14:47:21	LT-NO:LP-DIR-AF	g	108	u	8	273			pmagpy-4.4.0	2.21e-05	9.47e-08	1.54e-07	1.23e-07
D6A-1110a_LP-DIR-AF-110	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.5	174.9	-26.0 	0	0	0.00	0.00	1	273	This study	hargrave 2026-07-23 09:40:31	LT-NO:LP-DIR-AF	g	109	u	8	273			pmagpy-4.4.0	2.22e-05	1.36e-07	1.83e-07	1.33e-07
D6A-1110a_LP-DIR-AF-111	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.6	173.5	-28.8 	 1.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-23 09:43:57	LT-AF-Z:LP-DIR-AF	g	110	u	8	273			pmagpy-4.4.0	1.99e-05	1.35e-07	1.84e-07	1.23e-07
D6A-1110a_LP-DIR-AF-112	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.6	171.1	-37.7 	 2.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-23 09:47:27	LT-AF-Z:LP-DIR-AF	g	111	u	8	273			pmagpy-4.4.0	1.63e-05	1.12e-07	1.56e-07	1.02e-07
D6A-1110a_LP-DIR-AF-113	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.6	167.7	-48.4 	 3.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-23 09:50:55	LT-AF-Z:LP-DIR-AF	g	112	u	8	273			pmagpy-4.4.0	1.36e-05	9.61e-08	1.33e-07	8.36e-08
D6A-1110a_LP-DIR-AF-114	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.6	164.2	-56.9 	 4.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-23 09:54:20	LT-AF-Z:LP-DIR-AF	g	113	u	8	273			pmagpy-4.4.0	1.22e-05	8.93e-08	1.20e-07	7.29e-08
D6A-1110a_LP-DIR-AF-115	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.6	162.0	-60.5 	 5.000e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-23 09:57:45	LT-AF-Z:LP-DIR-AF	g	114	u	8	273			pmagpy-4.4.0	1.17e-05	8.57e-08	1.14e-07	6.81e-08
D6A-1110a_LP-DIR-AF-116	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	158.1	-65.2 	 7.500e-03	0	0.00	0.00	7	273	This study	hargrave 2026-07-23 10:00:15	LT-AF-Z:LP-DIR-AF	g	115	u	8	273			pmagpy-4.4.0	1.03e-05	7.90e-08	1.03e-07	5.88e-08
D6A-1110a_LP-DIR-AF-117	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	155.5	-67.1 	 1.000e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-23 10:01:49	LT-AF-Z:LP-DIR-AF	g	116	u	8	273			pmagpy-4.4.0	9.11e-06	7.16e-08	9.34e-08	5.07e-08
D6A-1110a_LP-DIR-AF-118	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	153.0	-68.0 	 1.250e-02	0	0.00	0.00	9	273	This study	hargrave 2026-07-23 10:03:24	LT-AF-Z:LP-DIR-AF	g	117	u	8	273			pmagpy-4.4.0	8.23e-06	6.67e-08	8.64e-08	4.46e-08
D6A-1110a_LP-DIR-AF-119	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	151.7	-68.5 	 1.500e-02	0	0.00	0.00	10	273	This study	hargrave 2026-07-23 10:04:58	LT-AF-Z:LP-DIR-AF	g	118	u	8	273			pmagpy-4.4.0	7.60e-06	6.28e-08	8.18e-08	4.09e-08
D6A-1110a_LP-DIR-AF-120	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	151.9	-69.2 	 1.750e-02	0	0.00	0.00	11	273	This study	hargrave 2026-07-23 10:06:33	LT-AF-Z:LP-DIR-AF	g	119	u	8	273			pmagpy-4.4.0	7.22e-06	6.02e-08	7.91e-08	3.89e-08
D6A-1110a_LP-DIR-AF-121	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	149.3	-68.9 	 2.000e-02	0	0.00	0.00	12	273	This study	hargrave 2026-07-23 10:08:08	LT-AF-Z:LP-DIR-AF	g	120	u	8	273			pmagpy-4.4.0	6.85e-06	5.76e-08	7.50e-08	3.72e-08
D6A-1110a_LP-DIR-AF-122	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	150.9	-68.6 	 2.250e-02	0	0.00	0.00	13	273	This study	hargrave 2026-07-23 10:09:42	LT-AF-Z:LP-DIR-AF	g	121	u	8	273			pmagpy-4.4.0	6.63e-06	5.62e-08	7.32e-08	3.70e-08
D6A-1110a_LP-DIR-AF-123	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	149.5	-68.6 	 2.500e-02	0	0.00	0.00	14	273	This study	hargrave 2026-07-23 10:11:16	LT-AF-Z:LP-DIR-AF	g	122	u	8	273			pmagpy-4.4.0	6.41e-06	5.37e-08	6.88e-08	3.58e-08
D6A-1110a_LP-DIR-AF-124	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	148.2	-68.3 	 2.750e-02	0	0.00	0.00	15	273	This study	hargrave 2026-07-23 10:12:51	LT-AF-Z:LP-DIR-AF	g	123	u	8	273			pmagpy-4.4.0	6.25e-06	5.34e-08	6.95e-08	3.56e-08
D6A-1110a_LP-DIR-AF-125	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	150.0	-68.8 	 3.000e-02	0	0.00	0.00	16	273	This study	hargrave 2026-07-23 10:14:25	LT-AF-Z:LP-DIR-AF	g	124	u	8	273			pmagpy-4.4.0	6.09e-06	5.22e-08	6.70e-08	3.43e-08
D6A-1110a_LP-DIR-AF-126	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	152.3	-68.3 	 3.500e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-23 10:16:00	LT-AF-Z:LP-DIR-AF	g	125	u	8	273			pmagpy-4.4.0	5.90e-06	5.10e-08	6.57e-08	3.40e-08
D6A-1110a_LP-DIR-AF-127	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.8	181.1	-69.6 	 4.000e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-23 10:17:34	LT-AF-Z:LP-DIR-AF	g	126	u	8	273			pmagpy-4.4.0	5.59e-06	5.17e-08	6.71e-08	3.20e-08
D6A-1110a_LP-DIR-AF-128	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	150.1	-66.4 	 4.500e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-23 10:20:04	LT-AF-Z:LP-DIR-AF	g	127	u	8	273			pmagpy-4.4.0	5.43e-06	4.67e-08	6.12e-08	3.38e-08
D6A-1110a_LP-DIR-AF-129	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	154.7	-66.8 	 5.000e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-23 10:21:38	LT-AF-Z:LP-DIR-AF	g	128	u	8	273			pmagpy-4.4.0	5.34e-06	4.56e-08	5.91e-08	3.20e-08
D6A-1110a_LP-DIR-AF-130	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	153.1	-66.2 	 5.500e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-23 10:25:04	LT-AF-Z:LP-DIR-AF	g	129	u	8	273			pmagpy-4.4.0	5.24e-06	4.61e-08	5.88e-08	3.20e-08
D6A-1110a_LP-DIR-AF-131	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	155.3	-65.6 	 6.000e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-23 10:28:29	LT-AF-Z:LP-DIR-AF	g	130	u	8	273			pmagpy-4.4.0	5.09e-06	4.52e-08	5.85e-08	3.14e-08
D6A-1110a_LP-DIR-AF-132	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	154.9	-64.9 	 6.500e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-23 10:31:54	LT-AF-Z:LP-DIR-AF	g	131	u	8	273			pmagpy-4.4.0	4.93e-06	4.37e-08	5.52e-08	3.11e-08
D6A-1110a_LP-DIR-AF-133	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	154.6	-64.4 	 7.000e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-23 10:35:20	LT-AF-Z:LP-DIR-AF	g	132	u	8	273			pmagpy-4.4.0	4.84e-06	4.18e-08	5.36e-08	3.02e-08
D6A-1110a_LP-DIR-AF-134	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	157.5	-63.8 	 7.500e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-23 10:38:45	LT-AF-Z:LP-DIR-AF	g	133	u	8	273			pmagpy-4.4.0	4.74e-06	4.24e-08	5.44e-08	2.93e-08
D6A-1110a_LP-DIR-AF-135	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	154.4	-63.3 	 8.000e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-23 10:42:10	LT-AF-Z:LP-DIR-AF	g	134	u	8	273			pmagpy-4.4.0	4.62e-06	3.97e-08	5.14e-08	2.92e-08
D6A-1110a_LP-DIR-AF-136	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	156.5	-63.2 	 8.500e-02	0	0.00	0.00	27	273	This study	hargrave 2026-07-23 10:45:36	LT-AF-Z:LP-DIR-AF	g	135	u	8	273			pmagpy-4.4.0	4.49e-06	3.90e-08	4.98e-08	2.79e-08
D6A-1110a_LP-DIR-AF-137	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	157.1	-62.6 	 9.000e-02	0	0.00	0.00	28	273	This study	hargrave 2026-07-23 10:49:02	LT-AF-Z:LP-DIR-AF	g	136	u	8	273			pmagpy-4.4.0	4.33e-06	3.74e-08	4.89e-08	2.85e-08
D6A-1110a_LP-DIR-AF-138	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	158.7	-62.3 	 9.500e-02	0	0.00	0.00	29	273	This study	hargrave 2026-07-23 10:52:28	LT-AF-Z:LP-DIR-AF	g	137	u	8	273			pmagpy-4.4.0	4.24e-06	3.81e-08	4.97e-08	2.74e-08
D6A-1110a_LP-DIR-AF-139	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	156.3	-62.1 	 1.000e-01	0	0.00	0.00	30	273	This study	hargrave 2026-07-23 10:55:56	LT-AF-Z:LP-DIR-AF	g	138	u	8	273			pmagpy-4.4.0	4.14e-06	3.58e-08	4.63e-08	2.70e-08
D6A-1110a_LP-DIR-AF-140	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	157.6	-61.6 	 1.050e-01	0	0.00	0.00	31	273	This study	hargrave 2026-07-23 10:59:23	LT-AF-Z:LP-DIR-AF	g	139	u	8	273			pmagpy-4.4.0	3.99e-06	3.53e-08	4.62e-08	2.57e-08
D6A-1110a_LP-DIR-AF-141	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.8	210.5	-59.0 	 1.100e-01	0	0.00	0.00	32	273	This study	hargrave 2026-07-23 11:02:51	LT-AF-Z:LP-DIR-AF	g	140	u	8	273			pmagpy-4.4.0	4.05e-06	3.98e-08	5.14e-08	2.20e-08
D6A-1110a_LP-DIR-AF-142	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	159.2	-60.9 	 1.150e-01	0	0.00	0.00	33	273	This study	hargrave 2026-07-23 11:06:19	LT-AF-Z:LP-DIR-AF	g	141	u	8	273			pmagpy-4.4.0	3.67e-06	3.20e-08	4.12e-08	2.36e-08
D6A-1110a_LP-DIR-AF-143	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	161.8	-60.6 	 1.200e-01	0	0.00	0.00	34	273	This study	hargrave 2026-07-23 11:09:48	LT-AF-Z:LP-DIR-AF	g	142	u	8	273			pmagpy-4.4.0	3.55e-06	3.17e-08	4.13e-08	2.32e-08
D6A-1110a_LP-DIR-AF-144	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	160.3	-60.6 	 1.250e-01	0	0.00	0.00	35	273	This study	hargrave 2026-07-23 11:13:17	LT-AF-Z:LP-DIR-AF	g	143	u	8	273			pmagpy-4.4.0	3.39e-06	3.03e-08	3.96e-08	2.13e-08
D6A-1110a_LP-DIR-AF-145	D6A-1110a	D6A-1110a_LP-DIR-AF	    0.7	162.7	-59.6 	 1.300e-01	0	0.00	0.00	36	273	This study	hargrave 2026-07-23 11:16:46	LT-AF-Z:LP-DIR-AF	g	144	u	8	273			pmagpy-4.4.0	3.23e-06	3.00e-08	3.83e-08	2.15e-08
D6A-1171a_LP-DIR-AF-146	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.8	224.5	 43.8 	0	0	0.00	0.00	0	273	This study	hargrave 2026-07-23 05:35:01	LT-NO:LP-DIR-AF	g	145	u	8	273			pmagpy-4.4.0	2.08e-05	2.11e-07	2.25e-07	7.81e-08
D6A-1171a_LP-DIR-AF-147	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.8	227.6	 44.5 	 1.000e-03	0	0.00	0.00	1	273	This study	hargrave 2026-07-23 05:36:36	LT-AF-Z:LP-DIR-AF	g	146	u	8	273			pmagpy-4.4.0	2.01e-05	2.01e-07	2.12e-07	8.35e-08
D6A-1171a_LP-DIR-AF-148	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.8	235.7	 46.3 	 2.000e-03	0	0.00	0.00	2	273	This study	hargrave 2026-07-23 05:40:03	LT-AF-Z:LP-DIR-AF	g	147	u	8	273			pmagpy-4.4.0	1.89e-05	1.91e-07	1.98e-07	9.13e-08
D6A-1171a_LP-DIR-AF-149	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.8	244.6	 47.7 	 3.000e-03	0	0.00	0.00	3	273	This study	hargrave 2026-07-23 05:43:30	LT-AF-Z:LP-DIR-AF	g	148	u	8	273			pmagpy-4.4.0	1.80e-05	1.80e-07	1.91e-07	9.19e-08
D6A-1171a_LP-DIR-AF-150	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	252.4	 48.5 	 4.000e-03	0	0.00	0.00	4	273	This study	hargrave 2026-07-23 05:46:57	LT-AF-Z:LP-DIR-AF	g	149	u	8	273			pmagpy-4.4.0	1.75e-05	1.72e-07	1.84e-07	8.26e-08
D6A-1171a_LP-DIR-AF-151	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	256.3	 48.7 	 5.000e-03	0	0.00	0.00	5	273	This study	hargrave 2026-07-23 05:50:23	LT-AF-Z:LP-DIR-AF	g	150	u	8	273			pmagpy-4.4.0	1.73e-05	1.68e-07	1.82e-07	8.12e-08
D6A-1171a_LP-DIR-AF-152	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	261.4	 48.8 	 7.500e-03	0	0.00	0.00	6	273	This study	hargrave 2026-07-23 05:53:51	LT-AF-Z:LP-DIR-AF	g	151	u	8	273			pmagpy-4.4.0	1.67e-05	1.59e-07	1.75e-07	7.92e-08
D6A-1171a_LP-DIR-AF-153	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	263.3	 48.5 	 1.000e-02	0	0.00	0.00	7	273	This study	hargrave 2026-07-23 05:57:17	LT-AF-Z:LP-DIR-AF	g	152	u	8	273			pmagpy-4.4.0	1.60e-05	1.53e-07	1.68e-07	7.79e-08
D6A-1171a_LP-DIR-AF-154	D6A-1171a	D6A-1171a_LP-DIR-AF	    0.7	263.7	 47.7 	 1.250e-02	0	0.00	0.00	8	273	This study	hargrave 2026-07-23 06:00:43	LT-AF-Z:LP-DIR-AF	g	153	u	8	273			pmagpy-4.4.0	1.53e-05	1.47e-07	1.60e-07	7.05e-08
