tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
D6A-1005a_LP-DIR-AF-18	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.1	-34.5 	 4.000e-02	0	0.00	0.00	17	273	This study	hargrave 2026-07-22 20:15:36	LT-AF-Z:LP-DIR-AF	g	17	u	8	273			pmagpy-4.4.0	7.00e-06	2.93e-08	3.69e-08	2.07e-08
D6A-1005a_LP-DIR-AF-19	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.3	-35.2 	 4.500e-02	0	0.00	0.00	18	273	This study	hargrave 2026-07-22 20:17:10	LT-AF-Z:LP-DIR-AF	g	18	u	8	273			pmagpy-4.4.0	6.68e-06	2.71e-08	3.53e-08	1.91e-08
D6A-1005a_LP-DIR-AF-20	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	111.4	-35.2 	 5.000e-02	0	0.00	0.00	19	273	This study	hargrave 2026-07-22 20:19:41	LT-AF-Z:LP-DIR-AF	g	19	u	8	273			pmagpy-4.4.0	6.35e-06	2.56e-08	3.59e-08	1.51e-08
D6A-1005a_LP-DIR-AF-21	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.3	-35.2 	 5.500e-02	0	0.00	0.00	20	273	This study	hargrave 2026-07-22 20:21:16	LT-AF-Z:LP-DIR-AF	g	20	u	8	273			pmagpy-4.4.0	6.08e-06	2.53e-08	3.37e-08	1.63e-08
D6A-1005a_LP-DIR-AF-22	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.8	-34.9 	 6.000e-02	0	0.00	0.00	21	273	This study	hargrave 2026-07-22 20:22:51	LT-AF-Z:LP-DIR-AF	g	21	u	8	273			pmagpy-4.4.0	5.99e-06	2.44e-08	3.11e-08	1.78e-08
D6A-1005a_LP-DIR-AF-23	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	111.5	-35.6 	 6.500e-02	0	0.00	0.00	22	273	This study	hargrave 2026-07-22 20:24:26	LT-AF-Z:LP-DIR-AF	g	22	u	8	273			pmagpy-4.4.0	5.72e-06	2.56e-08	3.15e-08	1.37e-08
D6A-1005a_LP-DIR-AF-24	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	110.9	-35.6 	 7.000e-02	0	0.00	0.00	23	273	This study	hargrave 2026-07-22 20:26:00	LT-AF-Z:LP-DIR-AF	g	23	u	8	273			pmagpy-4.4.0	5.45e-06	2.35e-08	2.90e-08	1.40e-08
D6A-1005a_LP-DIR-AF-25	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.4	112.3	-36.1 	 7.500e-02	0	0.00	0.00	24	273	This study	hargrave 2026-07-22 20:27:35	LT-AF-Z:LP-DIR-AF	g	24	u	8	273			pmagpy-4.4.0	5.36e-06	2.29e-08	3.12e-08	1.33e-08
D6A-1005a_LP-DIR-AF-26	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.2	-34.8 	 8.000e-02	0	0.00	0.00	25	273	This study	hargrave 2026-07-22 20:29:10	LT-AF-Z:LP-DIR-AF	g	25	u	8	273			pmagpy-4.4.0	5.13e-06	2.13e-08	2.69e-08	1.22e-08
D6A-1005a_LP-DIR-AF-27	D6A-1005a	D6A-1005a_LP-DIR-AF	    0.3	112.3	-35.0 	 8.500e-02	0	0.00	0.00	26	273	This study	hargrave 2026-07-22 20:30:45	LT-AF-Z:LP-DIR-AF	g	26	u	8	273			pmagpy-4.4.0	5.04e-06	2.09e-08	2.59e-08	1.21e-08
