tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.0	198.4	64.6	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:47:41	1.161e-05	3.48e-07	3.164e-02	3.95e-09	3.91e-09	4.38e-09	8	273	D6A-1464a_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.4.0	D6A-1464a	u	3.500e-02	0	0.00	0.00	16	273
	This study		1.0	193.2	66.1	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:49:16	1.181e-05	3.54e-07	3.218e-02	4.07e-09	4.30e-09	4.43e-09	8	273	D6A-1464a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.4.0	D6A-1464a	u	4.000e-02	0	0.00	0.00	17	273
	This study		0.9	202.3	64.9	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:50:51	1.251e-05	3.75e-07	3.409e-02	3.80e-09	4.63e-09	4.45e-09	8	273	D6A-1464a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.4.0	D6A-1464a	u	4.500e-02	0	0.00	0.00	18	273
	This study		0.9	202.1	64.0	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:52:26	1.271e-05	3.81e-07	3.464e-02	3.70e-09	4.48e-09	4.31e-09	8	273	D6A-1464a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.4.0	D6A-1464a	u	5.000e-02	0	0.00	0.00	19	273
	This study		1.0	197.8	64.4	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:54:01	1.291e-05	3.87e-07	3.518e-02	3.89e-09	4.87e-09	4.59e-09	8	273	D6A-1464a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.4.0	D6A-1464a	u	5.500e-02	0	0.00	0.00	20	273
	This study		0.9	203.1	65.2	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:55:36	1.311e-05	3.93e-07	3.573e-02	3.69e-09	4.22e-09	4.80e-09	8	273	D6A-1464a_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.4.0	D6A-1464a	u	6.000e-02	0	0.00	0.00	21	273
	This study		0.9	206.3	63.2	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:57:11	1.351e-05	4.05e-07	3.682e-02	3.75e-09	4.52e-09	4.78e-09	8	273	D6A-1464a_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.4.0	D6A-1464a	u	6.500e-02	0	0.00	0.00	22	273
	This study		0.9	201.2	64.5	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 15:58:45	1.341e-05	4.02e-07	3.655e-02	3.81e-09	4.04e-09	5.14e-09	8	273	D6A-1464a_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.4.0	D6A-1464a	u	7.000e-02	0	0.00	0.00	23	273
	This study		0.8	207.8	60.1	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:00:20	1.411e-05	4.23e-07	3.845e-02	3.59e-09	4.17e-09	5.18e-09	8	273	D6A-1464a_LP-DIR-AF-25	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.4.0	D6A-1464a	u	7.500e-02	0	0.00	0.00	24	273
	This study		0.8	209.4	61.7	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:01:55	1.441e-05	4.32e-07	3.927e-02	3.39e-09	4.55e-09	5.48e-09	8	273	D6A-1464a_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.4.0	D6A-1464a	u	8.000e-02	0	0.00	0.00	25	273
	This study		0.8	213.9	66.6	D6A-1464a_LP-DIR-AF	hargrave 2026-07-24 16:03:30	1.441e-05	4.32e-07	3.927e-02	3.52e-09	4.21e-09	5.21e-09	8	273	D6A-1464a_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.4.0	D6A-1464a	u	8.500e-02	0	0.00	0.00	26	273
