tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.2	209.8	65.2	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:35:04	8.570e-05	1.81e-06	1.645e-01	2.17e-08	2.86e-08	1.60e-08	8	273	D6A-1727a_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.4.0	D6A-1727a	u	3.500e-02	0	0.00	0.00	16	273
	This study		1.1	208.6	67.1	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:37:33	7.623e-05	1.61e-06	1.464e-01	1.91e-08	2.59e-08	1.37e-08	8	273	D6A-1727a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.4.0	D6A-1727a	u	4.000e-02	0	0.00	0.00	17	273
	This study		1.1	208.3	69.1	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:39:08	6.818e-05	1.44e-06	1.309e-01	1.62e-08	2.20e-08	1.29e-08	8	273	D6A-1727a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.4.0	D6A-1727a	u	4.500e-02	0	0.00	0.00	18	273
	This study		1.1	208.2	70.6	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:40:42	6.203e-05	1.31e-06	1.191e-01	1.41e-08	1.92e-08	1.22e-08	8	273	D6A-1727a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.4.0	D6A-1727a	u	5.000e-02	0	0.00	0.00	19	273
	This study		1.0	206.1	72.2	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:42:17	5.634e-05	1.19e-06	1.082e-01	1.24e-08	1.69e-08	1.08e-08	8	273	D6A-1727a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.4.0	D6A-1727a	u	5.500e-02	0	0.00	0.00	20	273
	This study		1.0	205.2	73.8	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:43:52	5.208e-05	1.10e-06	1.000e-01	1.16e-08	1.57e-08	1.00e-08	8	273	D6A-1727a_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.4.0	D6A-1727a	u	6.000e-02	0	0.00	0.00	21	273
	This study		1.0	208.4	74.3	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:45:26	4.877e-05	1.03e-06	9.364e-02	1.04e-08	1.46e-08	9.53e-09	8	273	D6A-1727a_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.4.0	D6A-1727a	u	6.500e-02	0	0.00	0.00	22	273
	This study		1.0	209.2	74.6	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:47:01	4.555e-05	9.62e-07	8.745e-02	9.31e-09	1.32e-08	8.56e-09	8	273	D6A-1727a_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.4.0	D6A-1727a	u	7.000e-02	0	0.00	0.00	23	273
	This study		1.0	205.3	74.4	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:48:36	4.238e-05	8.95e-07	8.136e-02	8.60e-09	1.24e-08	7.93e-09	8	273	D6A-1727a_LP-DIR-AF-25	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.4.0	D6A-1727a	u	7.500e-02	0	0.00	0.00	24	273
	This study		0.9	202.7	75.9	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:50:10	3.935e-05	8.31e-07	7.555e-02	8.25e-09	1.12e-08	7.85e-09	8	273	D6A-1727a_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.4.0	D6A-1727a	u	8.000e-02	0	0.00	0.00	25	273
	This study		1.0	207.2	75.3	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:52:41	3.655e-05	7.72e-07	7.018e-02	7.52e-09	1.12e-08	6.93e-09	8	273	D6A-1727a_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.4.0	D6A-1727a	u	8.500e-02	0	0.00	0.00	26	273
	This study		1.0	202.2	75.5	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:54:16	3.499e-05	7.39e-07	6.718e-02	7.24e-09	1.03e-08	6.37e-09	8	273	D6A-1727a_LP-DIR-AF-28	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.4.0	D6A-1727a	u	9.000e-02	0	0.00	0.00	27	273
	This study		0.9	210.7	75.7	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:55:51	3.258e-05	6.88e-07	6.255e-02	6.57e-09	9.09e-09	6.24e-09	8	273	D6A-1727a_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.4.0	D6A-1727a	u	9.500e-02	0	0.00	0.00	28	273
	This study		1.0	207.1	76.0	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:57:27	3.026e-05	6.39e-07	5.809e-02	6.53e-09	8.75e-09	5.59e-09	8	273	D6A-1727a_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.4.0	D6A-1727a	u	1.000e-01	0	0.00	0.00	29	273
	This study		0.9	204.4	75.9	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 07:59:02	2.827e-05	5.97e-07	5.427e-02	5.93e-09	8.02e-09	5.32e-09	8	273	D6A-1727a_LP-DIR-AF-31	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.4.0	D6A-1727a	u	1.050e-01	0	0.00	0.00	30	273
	This study		0.9	207.1	72.5	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 08:00:38	2.675e-05	5.65e-07	5.136e-02	5.27e-09	7.51e-09	4.97e-09	8	273	D6A-1727a_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.4.0	D6A-1727a	u	1.100e-01	0	0.00	0.00	31	273
	This study		1.0	208.8	74.1	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 08:02:15	2.476e-05	5.23e-07	4.755e-02	5.13e-09	7.40e-09	4.85e-09	8	273	D6A-1727a_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.4.0	D6A-1727a	u	1.150e-01	0	0.00	0.00	32	273
	This study		1.0	207.9	74.6	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 08:03:52	2.330e-05	4.92e-07	4.473e-02	5.12e-09	7.00e-09	4.70e-09	8	273	D6A-1727a_LP-DIR-AF-34	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.4.0	D6A-1727a	u	1.200e-01	0	0.00	0.00	33	273
	This study		0.9	205.5	74.2	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 08:05:28	2.098e-05	4.43e-07	4.027e-02	4.36e-09	6.00e-09	4.32e-09	8	273	D6A-1727a_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.4.0	D6A-1727a	u	1.250e-01	0	0.00	0.00	34	273
	This study		1.0	205.5	72.2	D6A-1727a_LP-DIR-AF	hargrave 2026-07-21 08:07:05	2.017e-05	4.26e-07	3.873e-02	4.55e-09	6.24e-09	3.66e-09	8	273	D6A-1727a_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.4.0	D6A-1727a	u	1.300e-01	0	0.00	0.00	35	273
	This study		0.5	344.6	-87.1	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:25:58	8.808e-04	2.21e-05	2.009e+00	1.23e-07	1.31e-07	6.84e-08	8	273	D6A-1762a_LP-DIR-AF-37	LT-NO:LP-DIR-AF	g	36	pmagpy-4.4.0	D6A-1762a	u	0	0	0.00	0.00	0	273
	This study		0.5	342.8	-86.3	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:27:33	8.051e-04	2.02e-05	1.836e+00	1.16e-07	1.25e-07	7.01e-08	8	273	D6A-1762a_LP-DIR-AF-38	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.4.0	D6A-1762a	u	1.000e-03	0	0.00	0.00	1	273
	This study		0.5	344.2	-84.6	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:29:08	6.776e-04	1.70e-05	1.545e+00	1.05e-07	1.17e-07	7.21e-08	8	273	D6A-1762a_LP-DIR-AF-39	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.4.0	D6A-1762a	u	2.000e-03	0	0.00	0.00	2	273
	This study		0.6	345.7	-82.3	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:30:43	5.540e-04	1.39e-05	1.264e+00	9.39e-08	1.07e-07	7.26e-08	8	273	D6A-1762a_LP-DIR-AF-40	LT-AF-Z:LP-DIR-AF	g	39	pmagpy-4.4.0	D6A-1762a	u	3.000e-03	0	0.00	0.00	3	273
	This study		0.6	346.9	-80.2	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:32:18	4.663e-04	1.17e-05	1.064e+00	8.45e-08	9.74e-08	7.02e-08	8	273	D6A-1762a_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.4.0	D6A-1762a	u	4.000e-03	0	0.00	0.00	4	273
	This study		0.7	348.1	-77.9	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:33:53	3.930e-04	9.86e-06	8.964e-01	7.69e-08	8.87e-08	6.75e-08	8	273	D6A-1762a_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.4.0	D6A-1762a	u	5.000e-03	0	0.00	0.00	5	273
	This study		0.7	349.5	-74.1	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:35:28	2.929e-04	7.35e-06	6.682e-01	6.15e-08	7.09e-08	5.69e-08	8	273	D6A-1762a_LP-DIR-AF-43	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.4.0	D6A-1762a	u	7.500e-03	0	0.00	0.00	6	273
	This study		0.7	350.5	-72.3	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:37:03	2.471e-04	6.20e-06	5.636e-01	5.32e-08	6.10e-08	4.93e-08	8	273	D6A-1762a_LP-DIR-AF-44	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.4.0	D6A-1762a	u	1.000e-02	0	0.00	0.00	7	273
	This study		0.7	351.6	-71.4	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:38:38	2.180e-04	5.47e-06	4.973e-01	4.61e-08	5.37e-08	4.23e-08	8	273	D6A-1762a_LP-DIR-AF-45	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.4.0	D6A-1762a	u	1.250e-02	0	0.00	0.00	8	273
	This study		0.7	352.6	-70.9	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:40:13	1.981e-04	4.97e-06	4.518e-01	4.09e-08	4.82e-08	3.71e-08	8	273	D6A-1762a_LP-DIR-AF-46	LT-AF-Z:LP-DIR-AF	g	45	pmagpy-4.4.0	D6A-1762a	u	1.500e-02	0	0.00	0.00	9	273
	This study		0.7	353.1	-70.7	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:41:48	1.802e-04	4.52e-06	4.109e-01	3.68e-08	4.42e-08	3.27e-08	8	273	D6A-1762a_LP-DIR-AF-47	LT-AF-Z:LP-DIR-AF	g	46	pmagpy-4.4.0	D6A-1762a	u	1.750e-02	0	0.00	0.00	10	273
	This study		0.7	355.3	-70.9	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:43:23	1.650e-04	4.14e-06	3.764e-01	3.32e-08	4.06e-08	2.87e-08	8	273	D6A-1762a_LP-DIR-AF-48	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.4.0	D6A-1762a	u	2.000e-02	0	0.00	0.00	11	273
	This study		0.7	355.2	-70.5	D6A-1762a_LP-DIR-AF	hargrave 2026-07-21 05:44:59	1.530e-04	3.84e-06	3.491e-01	3.10e-08	3.80e-08	2.58e-08	8	273	D6A-1762a_LP-DIR-AF-49	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.4.0	D6A-1762a	u	2.250e-02	0	0.00	0.00	12	273
