Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z
D6A-2031b,chip for rock magnetic experiments,,,,,2031,,,D6A-2031,quartz monzonite 0.7 to 1 mm grain quartz monozonite footwall with abundant sulfides (bright brassy chalcopyrite?). We consider this to be GRB rather than assimilated GRB.,D6A-2031,Severson unit GRB; Severson description: Homog. (Noritic) CP-BN+Po-rich zone (10%); rock type: quartz monzonite; sulfide 3%,47.6989,-91.8362,2031,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2022a,oriented specimen for remanence,0,-90,,,2022,,,D6A-2022,0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite),D6A-2022,Severson unit BAN (l); Severson description: Troctolite (crossed-out) Homog. (Noritic); rock type: troctolite; sulfide 1%,47.6989,-91.8362,2022,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2022b,chip for rock magnetic experiments,,,,,2022,,,D6A-2022,0.3 to 0.5 cm troctolite (preferring Severson's initial call of troctolite over norite),D6A-2022,Severson unit BAN (l); Severson description: Troctolite (crossed-out) Homog. (Noritic); rock type: troctolite; sulfide 1%,47.6989,-91.8362,2022,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2009a,oriented specimen for remanence,0,-90,,,2009,,,D6A-2009,0.3 cm augite troctolite sulfides up to 0.5 cm,D6A-2009,Severson unit BAN (l); Severson description: TROCT (MOD HET); rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,2009,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2009b,chip for rock magnetic experiments,,,,,2009,,,D6A-2009,0.3 cm augite troctolite sulfides up to 0.5 cm,D6A-2009,Severson unit BAN (l); Severson description: TROCT (MOD HET); rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,2009,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2001a,oriented specimen for remanence,0,-90,,,2001,,,D6A-2001,0.3 to 0.5 cm with sulfides up to 0.4 cm,D6A-2001,Severson unit BAN (l); Severson description: AGT-HOMOG.; rock type: augite troctolite; sulfide 1%,47.6989,-91.8362,2001,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-2001b,chip for rock magnetic experiments,,,,,2001,,,D6A-2001,0.3 to 0.5 cm with sulfides up to 0.4 cm,D6A-2001,Severson unit BAN (l); Severson description: AGT-HOMOG.; rock type: augite troctolite; sulfide 1%,47.6989,-91.8362,2001,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1989a,oriented specimen for remanence,0,-90,,,1989,,,D6A-1989,0.3 to 0.5 cm with sulfides,D6A-1989,Severson unit BAN (l); Severson description: AGT-HOMOG.; rock type: augite troctolite; sulfide 7%,47.6989,-91.8362,1989,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1989b,chip for rock magnetic experiments,,,,,1989,,,D6A-1989,0.3 to 0.5 cm with sulfides,D6A-1989,Severson unit BAN (l); Severson description: AGT-HOMOG.; rock type: augite troctolite; sulfide 7%,47.6989,-91.8362,1989,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1926a,oriented specimen for remanence,0,-90,,,1926,,,D6A-1926,0.3 to 0.5 cm with sulfide up to 1 cm sulfides include the peacock colored bornite,D6A-1926,Severson unit BAN (l); Severson description: T-HOMOG; rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,1926,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
