Specimen_ID,Specimen_description,Specimen_azimuth,Specimen_plunge,Specimen_mass[g],Specimen_vol[cc],Specimen_coordinate,Uchannel_length[cm],Uchannel_area[cm2],Sample_ID,Sample_description,Site_ID,Site_description,Site_lat,Site_lon,Site_coordinate,Site_bedding_dip,Site_dip_azimuth,Locality_ID,Locality_description,Expedition_ID,Expedition_description,material_ID,material_description,material_manufacturer,material_composition,material_mineral_name,material_grain_length[um],material_grain_L/W_ratio,composition_parameter_X,composition_parameter_Y,oxidation_parameter_Z
D6A-1762a,oriented specimen for remanence,0,-90,,,1762,,,D6A-1762,0.3 to 0.7 cm grain size with sulfides up to 0.4 cm in sie and a 1.5 cm mafic xenolith,D6A-1762,Severson unit BAN (u); Severson description: AGT (CP(BN)>Po); rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,1762,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1762b,chip for rock magnetic experiments,,,,,1762,,,D6A-1762,0.3 to 0.7 cm grain size with sulfides up to 0.4 cm in sie and a 1.5 cm mafic xenolith,D6A-1762,Severson unit BAN (u); Severson description: AGT (CP(BN)>Po); rock type: augite troctolite; sulfide 3%,47.6989,-91.8362,1762,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1727a,oriented specimen for remanence,0,-90,,,1727,,,D6A-1727,0.3 to 0.5 cm grain size with a large patch of sulfides (4 to 5 cm),D6A-1727,Severson unit BAN (u); Severson description: AGT-(OG?) HET; rock type: augite troctolite; sulfide 5%,47.6989,-91.8362,1727,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1727b,chip for rock magnetic experiments,,,,,1727,,,D6A-1727,0.3 to 0.5 cm grain size with a large patch of sulfides (4 to 5 cm),D6A-1727,Severson unit BAN (u); Severson description: AGT-(OG?) HET; rock type: augite troctolite; sulfide 5%,47.6989,-91.8362,1727,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1699a,oriented specimen for remanence,0,-90,,,1699,,,D6A-1699,0.3 to 0.7 cm grain size with very little sulfides,D6A-1699,Severson unit BH (l); Severson description: AT/T-HOMOG; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1699,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1699b,chip for rock magnetic experiments,,,,,1699,,,D6A-1699,0.3 to 0.7 cm grain size with very little sulfides,D6A-1699,Severson unit BH (l); Severson description: AT/T-HOMOG; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1699,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1605a,oriented specimen for remanence,0,-90,,,1605,,,D6A-1605,0.2 to 0.5 cm grain size,D6A-1605,Severson unit U2; Severson description: AT-HOMOG; rock type: anorthositic troctolite; sulfide 0.5%,47.6989,-91.8362,1605,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1605b,chip for rock magnetic experiments,,,,,1605,,,D6A-1605,0.2 to 0.5 cm grain size,D6A-1605,Severson unit U2; Severson description: AT-HOMOG; rock type: anorthositic troctolite; sulfide 0.5%,47.6989,-91.8362,1605,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1592a,oriented specimen for remanence,0,-90,,,1592,,,D6A-1592,0.5 to 1 cm grain size and appears more like the aT unit than picrite,D6A-1592,Severson unit BH (u); Severson description: PIC-F.P.; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1592,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1592b,chip for rock magnetic experiments,,,,,1592,,,D6A-1592,0.5 to 1 cm grain size and appears more like the aT unit than picrite,D6A-1592,Severson unit BH (u); Severson description: PIC-F.P.; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1592,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1581a,oriented specimen for remanence,0,-90,,,1581,,,D6A-1581,1 to 1.4 mm grain size,D6A-1581,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1581,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1581b,chip for rock magnetic experiments,,,,,1581,,,D6A-1581,1 to 1.4 mm grain size,D6A-1581,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1581,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1566a,oriented specimen for remanence,0,-90,,,1566,,,D6A-1566,0.5 to 0.7 mm grain size,D6A-1566,Severson unit BH (u); Severson description: Pic-F.P. lens; rock type: picrite; sulfide 0%,47.6989,-91.8362,1566,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1566b,chip for rock magnetic experiments,,,,,1566,,,D6A-1566,0.5 to 0.7 mm grain size,D6A-1566,Severson unit BH (u); Severson description: Pic-F.P. lens; rock type: picrite; sulfide 0%,47.6989,-91.8362,1566,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1561a,oriented specimen for remanence,0,-90,,,1561,,,D6A-1561,0.2 to 0.5 cm grain size,D6A-1561,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1561,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1561b,chip for rock magnetic experiments,,,,,1561,,,D6A-1561,0.2 to 0.5 cm grain size,D6A-1561,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1561,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1551a,oriented specimen for remanence,0,-90,,,1551,,,D6A-1551,0.7 to 1 mm grain size,D6A-1551,Severson unit BH (u); Severson description: SERP F.P.; rock type: picrite; sulfide 1%,47.6989,-91.8362,1551,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1551b,chip for rock magnetic experiments,,,,,1551,,,D6A-1551,0.7 to 1 mm grain size,D6A-1551,Severson unit BH (u); Severson description: SERP F.P.; rock type: picrite; sulfide 1%,47.6989,-91.8362,1551,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1528a,oriented specimen for remanence,0,-90,,,1528,,,D6A-1528,0.3 to 0.5 cm grain size,D6A-1528,Severson unit BH (u); Severson description: AT-HOMOG; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1528,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1528b,chip for rock magnetic experiments,,,,,1528,,,D6A-1528,0.3 to 0.5 cm grain size,D6A-1528,Severson unit BH (u); Severson description: AT-HOMOG; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1528,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1509a,oriented specimen for remanence,0,-90,,,1509,,,D6A-1509,0.5 to 1 cm grain size,D6A-1509,Severson unit BH (u); Severson description: HET (PIC/ORT bnds) this in in ORT; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1509,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1509b,chip for rock magnetic experiments,,,,,1509,,,D6A-1509,0.5 to 1 cm grain size,D6A-1509,Severson unit BH (u); Severson description: HET (PIC/ORT bnds) this in in ORT; rock type: anorthositic troctolite; sulfide 1%,47.6989,-91.8362,1509,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1504a,oriented specimen for remanence,0,-90,,,1504,,,D6A-1504,0.2 cm grain size,D6A-1504,Severson unit BH (u); Severson description: PIC-(F.P.); rock type: picrite; sulfide 1%,47.6989,-91.8362,1504,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1504b,chip for rock magnetic experiments,,,,,1504,,,D6A-1504,0.2 cm grain size,D6A-1504,Severson unit BH (u); Severson description: PIC-(F.P.); rock type: picrite; sulfide 1%,47.6989,-91.8362,1504,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1500a,oriented specimen for remanence,0,-90,,,1500,,,D6A-1500,0.2 cm grain size,D6A-1500,Severson unit BH (u); Severson description: PIC-(F.P.); rock type: picrite; sulfide 2%,47.6989,-91.8362,1500,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1500b,chip for rock magnetic experiments,,,,,1500,,,D6A-1500,0.2 cm grain size,D6A-1500,Severson unit BH (u); Severson description: PIC-(F.P.); rock type: picrite; sulfide 2%,47.6989,-91.8362,1500,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1465a,oriented specimen for remanence,0,-90,,,1465.5,,,D6A-1465,0.5 cm grain size with almost ophitic texture and some larger sulfides,D6A-1465,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 2%,47.6989,-91.8362,1465.5,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1465b,chip for rock magnetic experiments,,,,,1465.5,,,D6A-1465,0.5 cm grain size with almost ophitic texture and some larger sulfides,D6A-1465,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 2%,47.6989,-91.8362,1465.5,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1464a,oriented specimen for remanence,0,-90,,,1464,,,D6A-1464,1 to 2 mm grain size,D6A-1464,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1464,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1464b,chip for rock magnetic experiments,,,,,1464,,,D6A-1464,1 to 2 mm grain size,D6A-1464,Severson unit BH (u); Severson description: AT; rock type: anorthositic troctolite; sulfide 0%,47.6989,-91.8362,1464,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1463a,oriented specimen for remanence,0,-90,,,1462.75,,,D6A-1463,1 mm grain size with abundant CL drops,D6A-1463,Severson unit U1; Severson description: PIC (at BH (u) contact; abund. Cl drops); rock type: picrite; sulfide 0%,47.6989,-91.8362,1462.75,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1463b,chip for rock magnetic experiments,,,,,1462.75,,,D6A-1463,1 mm grain size with abundant CL drops,D6A-1463,Severson unit U1; Severson description: PIC (at BH (u) contact; abund. Cl drops); rock type: picrite; sulfide 0%,47.6989,-91.8362,1462.75,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1461a,oriented specimen for remanence,0,-90,,,1461,,,D6A-1461,1 mm grain size with white talc splotches and trace sulfides,D6A-1461,Severson unit U1; Severson description: PIC (abund. Cl drops); rock type: picrite; sulfide 0%,47.6989,-91.8362,1461,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1461b,chip for rock magnetic experiments,,,,,1461,,,D6A-1461,1 mm grain size with white talc splotches and trace sulfides,D6A-1461,Severson unit U1; Severson description: PIC (abund. Cl drops); rock type: picrite; sulfide 0%,47.6989,-91.8362,1461,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1446a,oriented specimen for remanence,0,-90,,,1446,,,D6A-1446,0.3 cm grain size with 1 mm olivines,D6A-1446,Severson unit U1; Severson description: PIC (top 3 in grades to peridotite/dunite; abund. Cl drops); rock type: peridotite; sulfide 0%,47.6989,-91.8362,1446,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1446b,chip for rock magnetic experiments,,,,,1446,,,D6A-1446,0.3 cm grain size with 1 mm olivines,D6A-1446,Severson unit U1; Severson description: PIC (top 3 in grades to peridotite/dunite; abund. Cl drops); rock type: peridotite; sulfide 0%,47.6989,-91.8362,1446,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1342a,oriented specimen for remanence,0,-90,,,1342,,,D6A-1342,1.4 to 2 mm grain size with very small (1 mm) sulfides,D6A-1342,Severson unit U1; Severson description: PIC w/ T bnd (HET mix of PIC/ORT/T); rock type: picrite and troctolite mix; sulfide 1%,47.6989,-91.8362,1342,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1342b,chip for rock magnetic experiments,,,,,1342,,,D6A-1342,1.4 to 2 mm grain size with very small (1 mm) sulfides,D6A-1342,Severson unit U1; Severson description: PIC w/ T bnd (HET mix of PIC/ORT/T); rock type: picrite and troctolite mix; sulfide 1%,47.6989,-91.8362,1342,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1338a,oriented specimen for remanence,0,-90,,,1338,,,D6A-1338,0.3 to 0.5 cm grain size with small CL drops (0.2 cm),D6A-1338,Severson unit U1; Severson description: PIC w/ T bnd (HET mix of PIC/ORT/T); rock type: troctolite with some picrite; sulfide 1%,47.6989,-91.8362,1338,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1338b,chip for rock magnetic experiments,,,,,1338,,,D6A-1338,0.3 to 0.5 cm grain size with small CL drops (0.2 cm),D6A-1338,Severson unit U1; Severson description: PIC w/ T bnd (HET mix of PIC/ORT/T); rock type: troctolite with some picrite; sulfide 1%,47.6989,-91.8362,1338,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1322a,oriented specimen for remanence,0,-90,,,1322,,,D6A-1322,0.2 to 0.4 cm grain size with generally small sulfides but 1 up to 0.5 cm,D6A-1322,Severson unit U1; Severson description: PIC w/ T bnd + x-cutting ORT/PIC patches; rock type: troctolite with some picrite; sulfide 1%,47.6989,-91.8362,1322,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1322b,chip for rock magnetic experiments,,,,,1322,,,D6A-1322,0.2 to 0.4 cm grain size with generally small sulfides but 1 up to 0.5 cm,D6A-1322,Severson unit U1; Severson description: PIC w/ T bnd + x-cutting ORT/PIC patches; rock type: troctolite with some picrite; sulfide 1%,47.6989,-91.8362,1322,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1301a,oriented specimen for remanence,0,0,,,1301,,,D6A-1301,1 to 1.4 mm grain size with sepentinization throughout but mainly centered in small veins at the top of the core section,D6A-1301,Severson unit U1; Severson description: TROCT w/ ORT/PIC bnds/irregular patches; rock type: troctolite; sulfide 3%,47.6989,-91.8362,1301,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1301b,chip for rock magnetic experiments,,,,,1301,,,D6A-1301,1 to 1.4 mm grain size with sepentinization throughout but mainly centered in small veins at the top of the core section,D6A-1301,Severson unit U1; Severson description: TROCT w/ ORT/PIC bnds/irregular patches; rock type: troctolite; sulfide 3%,47.6989,-91.8362,1301,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1286a,oriented specimen for remanence,0,0,,,1286,,,D6A-1286,0.3 to 0.5 cm grain size on average with nice olivines and augite,D6A-1286,Severson unit MAIN AGT; Severson description: TROCT w ORT/PIC bnds/irregular patches; rock type: troctolite; sulfide 1%,47.6989,-91.8362,1286,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1286b,chip for rock magnetic experiments,,,,,1286,,,D6A-1286,0.3 to 0.5 cm grain size on average with nice olivines and augite,D6A-1286,Severson unit MAIN AGT; Severson description: TROCT w ORT/PIC bnds/irregular patches; rock type: troctolite; sulfide 1%,47.6989,-91.8362,1286,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1264a,oriented specimen for remanence,0,-90,,,1264,,,D6A-1264,0.3 to 1 cm grain size with ~65% hornblende (some up to 1 cm in size) and max. 1% oxides,D6A-1264,Severson unit MAIN AGT; Severson description: AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections; rock type: hornblendite; sulfide 1%,47.6989,-91.8362,1264,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1264b,chip for rock magnetic experiments,,,,,1264,,,D6A-1264,0.3 to 1 cm grain size with ~65% hornblende (some up to 1 cm in size) and max. 1% oxides,D6A-1264,Severson unit MAIN AGT; Severson description: AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections; rock type: hornblendite; sulfide 1%,47.6989,-91.8362,1264,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1249a,oriented specimen for remanence,0,-90,,,1249,,,D6A-1249,0.3 to 0.7 cm grain size that fines upward in the core section,D6A-1249,Severson unit MAIN AGT; Severson description: AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections; rock type: hornblendite; sulfide 1%,47.6989,-91.8362,1249,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1249b,chip for rock magnetic experiments,,,,,1249,,,D6A-1249,0.3 to 0.7 cm grain size that fines upward in the core section,D6A-1249,Severson unit MAIN AGT; Severson description: AGT HOMOG/HORNBLENDITE (OUIS) w granophyric sections; rock type: hornblendite; sulfide 1%,47.6989,-91.8362,1249,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1236a,oriented specimen for remanence,0,0,,,1236,,,D6A-1236,0.5 to 0.7 cm grain size with large area of serpentinization from a planar vein and a 1 cm talc crystal,D6A-1236,Severson unit MAIN AGT; Severson description: AGT HOMOG; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1236,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1236b,chip for rock magnetic experiments,,,,,1236,,,D6A-1236,0.5 to 0.7 cm grain size with large area of serpentinization from a planar vein and a 1 cm talc crystal,D6A-1236,Severson unit MAIN AGT; Severson description: AGT HOMOG; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1236,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1215a,oriented specimen for remanence,0,0,,,1215,,,D6A-1215,0.3 to 0.5 cm grain size with little to no serpetinization,D6A-1215,Severson unit MAIN AGT; Severson description: AGT HOMOG; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1215,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
D6A-1215b,chip for rock magnetic experiments,,,,,1215,,,D6A-1215,0.3 to 0.5 cm grain size with little to no serpetinization,D6A-1215,Severson unit MAIN AGT; Severson description: AGT HOMOG; rock type: augite troctolite; sulfide 0%,47.6989,-91.8362,1215,,,D6A,"D-6A drill core, Dunka Pit area, South Kawishiwi intrusion, Duluth Complex; collar 47.6989N, 91.8362W (DNRNUM 13933)",SSRM 2026,"2026 IRM Summer School of Rock Magnetism, Duluth Complex project",,,,,,,,,,
